,Open,High,Low,Close,Volume,Dividends,Stock Splits
2010-01-04,239.74771315434032,239.74771315434032,224.53139941981257,236.31991577148438,76646086,0.0,0.0
2010-01-05,252.66785250163315,252.66785250163315,234.10063117985428,235.26519775390625,21392825,0.0,0.0
2010-01-06,237.28673557079628,240.4948089984845,235.25422967590416,239.06655883789062,23691760,0.0,0.0
2010-01-07,239.06654793714503,244.99925766535256,236.86923445648972,243.0326690673828,26197920,0.0,0.0
2010-01-08,243.46116819829544,244.73561160234775,240.82440644418426,242.39547729492188,15110149,0.0,0.0
2010-01-11,249.32793028456274,252.62390773631722,230.7167934943212,237.63829040527344,188649642,0.0,0.0
2010-01-12,240.6046604611414,249.89925029694618,236.64951085685863,238.2645263671875,32790509,0.0,0.0
2010-01-13,239.06656036004804,239.94547113015736,234.80378225354218,239.19839477539062,15360176,0.0,0.0
2010-01-14,238.627084111132,247.1526105051028,238.627084111132,246.47146606445312,24545629,0.0,0.0
2010-01-15,247.3723490269629,250.250821774515,242.81295814486032,244.06541442871094,18766617,0.0,0.0
2010-01-18,243.24141891600536,245.3178694985779,239.93446986401884,241.59344482421875,14172193,0.0,0.0
2010-01-19,241.70331214768711,243.03267178382185,237.89098311692047,238.40736389160156,13064666,0.0,0.0
2010-01-20,240.60467193567044,241.06610705603111,235.5508726820303,236.75938415527344,19331024,0.0,0.0
2010-01-21,236.2100549594193,236.64951766897036,230.7717387648097,231.60670471191406,18611321,0.0,0.0
2010-01-22,228.73923239839758,235.33114369154256,226.21233282489493,231.56275939941406,39869565,0.0,0.0
2010-01-25,230.6398867261612,231.68360514752325,227.79438735335802,228.96994018554688,13393277,0.0,0.0
2010-01-27,227.20112320628704,230.71681025286304,224.1248988740112,225.7838592529297,24843485,0.0,0.0
2010-01-28,228.51949289418152,229.936756824051,225.22354459329094,227.8932647705078,33223459,0.0,0.0
2010-01-29,226.95941834129118,231.11231983704806,223.70741470118148,229.8818359375,23333042,0.0,0.0
2010-02-01,227.97016105682155,231.8154486222465,227.54168456416755,229.70603942871094,12132865,0.0,0.0
2010-02-02,231.156257649259,232.11208648330438,225.02578140427175,225.7289276123047,17248998,0.0,0.0
2010-02-03,226.56388174427914,230.3652244798496,226.56388174427914,227.19012451171875,15052266,0.0,0.0
2010-02-04,228.08002537618077,228.08002537618077,222.80650233886237,223.9381103515625,11974603,0.0,0.0
2010-02-05,214.23703300763214,221.43318524441457,214.23703300763214,215.70921325683594,29882876,0.0,0.0
2010-02-08,216.43432191336868,220.68609878874807,214.23702317344873,218.48880004882812,25894932,0.0,0.0
2010-02-09,218.35696283947772,219.2908192550242,215.92895376044686,218.24710083007812,14292031,0.0,0.0
2010-02-10,219.7083022044511,219.7083022044511,215.77512505699792,216.456298828125,18261247,0.0,0.0
2010-02-11,217.3682055232365,224.08096545597598,217.20339782960846,223.05921936035156,23450102,0.0,0.0
2010-02-15,225.66299194995693,225.66299194995693,221.4002142493371,221.9275665283203,13498617,0.0,0.0
2010-02-16,221.9495609492125,224.3446261766372,220.82893907867017,223.63050842285156,10068256,0.0,0.0
2010-02-17,225.2235621026119,228.03610311121864,224.57536152658622,226.8825225830078,15630122,0.0,0.0
2010-02-18,226.3221906223505,228.1569448296772,218.63163003480338,219.2468719482422,19834114,0.0,0.0
2010-02-19,218.6316505933281,218.6316505933281,214.70945919112611,216.03883361816406,17754534,0.0,0.0
2010-02-22,218.69753757766185,219.73026974425184,213.13835886503767,214.88522338867188,12692045,0.0,0.0
2010-02-23,214.0173074760246,215.99488242139805,213.138382018564,214.31394958496094,12976934,0.0,0.0
2010-02-24,213.13839126124077,216.58816136371985,212.4023010594796,215.072021484375,12487589,0.0,0.0
2010-02-25,215.3576639480606,216.43434101234436,210.75431358766045,211.6222381591797,18954063,0.0,0.0
2010-02-26,212.91863738839288,218.63162297350812,212.31438169528468,215.10494995117188,22579233,0.0,0.0
2010-03-02,216.43435155250378,219.5105760767883,215.20385294209422,216.03883361816406,18210596,0.0,0.0
2010-03-03,217.09351747889932,225.88272746580083,217.09351747889932,225.17959594726562,26623966,0.0,0.0
2010-03-04,228.51948905550356,228.51948905550356,221.48812986481832,222.80650329589844,20781218,0.0,0.0
2010-03-05,224.56435751645031,225.44326826128867,220.85090424846862,221.88363647460938,11774505,0.0,0.0
2010-03-08,224.388563206431,225.66300651915145,220.16974470219094,220.6311798095703,11941298,0.0,0.0
2010-03-09,221.15853949610832,222.32310617041313,217.1045138708321,217.60989379882812,17459521,0.0,0.0
2010-03-10,218.63163034870044,223.8831810238364,217.37917411839558,221.65292358398438,24807175,0.0,0.0
2010-03-11,221.92758468340884,224.1248982487799,221.26839794771016,223.3448486328125,14583772,0.0,0.0
2010-03-12,223.02623264973113,226.98136744534045,222.8064939751936,224.4764404296875,22333253,0.0,0.0
2010-03-15,224.56436285047099,226.75067556527276,222.60876036136523,225.8937225341797,18131701,0.0,0.0
2010-03-16,226.76165137196432,235.50691649812242,226.10246466093827,234.66094970703125,33998717,0.0,0.0
2010-03-17,236.1661082833645,237.8580272340743,234.18853343997182,235.0454864501953,21599472,0.0,0.0
2010-03-18,235.99031879110422,237.6602652671787,233.81499242523392,236.63851928710938,15292424,0.0,0.0
2010-03-19,237.04503539363915,240.93425323472457,235.14436394332296,239.9564666748047,19737747,0.0,0.0
2010-03-22,233.35357935734388,241.48358849533724,233.35357935734388,235.97935485839844,20468483,0.0,0.0
2010-03-23,236.85825309272963,240.3739400657482,236.6385290740894,239.81362915039062,20005544,0.0,0.0
2010-03-25,240.8243890995089,241.04412778609066,236.73740500803314,239.82461547851562,22967888,0.0,0.0
2010-03-26,241.04413775350037,244.1203621502499,240.63763363416604,241.8022003173828,18075516,0.0,0.0
2010-03-29,242.51631339468642,243.88963254567167,239.72574495582094,240.2311248779297,20249784,0.0,0.0
2010-03-30,240.82439541823837,242.95577712740194,237.96790976032727,239.09951782226562,18938795,0.0,0.0
2010-03-31,240.14322782409332,240.60466292717737,235.39705705100377,236.04525756835938,21647708,0.0,0.0
2010-04-01,236.86924150925765,241.3737159439406,236.6495174885622,239.9564666748047,12519976,0.0,0.0
2010-04-05,240.93425534794446,248.21832671526383,240.93425534794446,247.39431762695312,19912935,0.0,0.0
2010-04-06,247.85577584713357,248.95442533329535,246.1418697410345,246.8010711669922,12481837,0.0,0.0
2010-04-07,247.19654640436994,252.62390534667284,246.779070794492,248.22927856445312,20218574,0.0,0.0
2010-04-08,248.95442479594925,249.723488235298,242.03292718093908,243.14256286621094,14723428,0.0,0.0
2010-04-09,243.50509674861655,248.51496574870404,243.50509674861655,247.13064575195312,16826518,0.0,0.0
2010-04-12,251.59118198031086,251.59118198031086,246.68018894639846,247.71292114257812,12699784,0.0,0.0
2010-04-13,247.8557687963111,249.1741422750708,244.1862749232136,246.29566955566406,13971281,0.0,0.0
2010-04-15,247.1965754281936,249.3719020063687,238.85781376663843,239.6598358154297,24286918,0.0,0.0
2010-04-16,238.6490730900474,240.60467561389456,235.36411085887545,238.24256896972656,18193722,0.0,0.0
2010-04-19,237.26475099582714,237.26475099582714,230.9365234104315,233.3096160888672,16389189,0.0,0.0
2010-04-20,235.0784419879473,237.25376842018582,231.67261706119797,233.6172332763672,16748550,0.0,0.0
2010-04-21,235.11142113740516,235.92442940425482,230.3103189521963,231.61770629882812,19187549,0.0,0.0
2010-04-22,230.8266548967402,240.36294080857576,230.72777909372292,236.37484741210938,25598349,0.0,0.0
2010-04-23,237.3087084770536,240.82439554604687,237.3087084770536,239.11050415039062,23235165,0.0,0.0
2010-04-26,237.30870708867377,241.2199120469591,233.68315802857262,235.38607788085938,16652152,0.0,0.0
2010-04-27,233.57328290781467,234.67193229856946,231.81544681617189,233.18875122070312,13970196,0.0,0.0
2010-04-28,231.58473688392544,231.58473688392544,222.3670500058106,223.52064514160156,40110291,0.0,0.0
2010-04-29,225.00378494223767,228.4974992030799,223.93809421083745,227.4318084716797,23447044,0.0,0.0
2010-04-30,228.51948321635294,230.10154009391914,226.32218444214845,227.11322021484375,15821019,0.0,0.0
2010-05-03,225.4432767864813,226.89349937186896,223.70741296526273,224.94888305664062,12535244,0.0,0.0
2010-05-04,225.04775166579134,228.29976984440236,222.69664597482628,224.37757873535156,17348783,0.0,0.0
2010-05-05,221.9275813096,224.90492977785067,220.455401044746,224.26771545410156,14976570,0.0,0.0
2010-05-06,224.08094498813455,224.84999370612397,220.60920288690377,221.45516967773438,23863448,0.0,0.0
2010-05-07,214.45676245816284,232.9141083911657,214.45676245816284,226.93743896484375,72063684,0.0,0.0
2010-05-10,230.936526558715,237.74816173317458,228.51948904474878,237.17686462402344,38050844,0.0,0.0
2010-05-11,239.28628739251533,239.28628739251533,233.65020471971644,234.6280059814453,26325489,0.0,0.0
2010-05-12,236.44078466019664,239.38515993879747,233.80402301706317,237.95692443847656,15294301,0.0,0.0
2010-05-13,233.35355825803433,240.25308286693112,233.35355825803433,235.5069122314453,11947698,0.0,0.0
2010-05-14,234.6060117535792,235.33113031526955,227.42083134598866,229.32150268554688,18161695,0.0,0.0
2010-05-17,227.35492964683365,227.35492964683365,221.70786091288554,223.3668212890625,20611809,0.0,0.0
2010-05-18,224.12489471448083,227.08025611130228,221.4441736737838,224.25672912597656,15445191,0.0,0.0
2010-05-19,223.46569320949135,223.63050089160356,218.65360518188015,219.43365478515625,26097480,0.0,0.0
